"Project.ID","Project.name","Secondary.name","Last.IDRECCO.update..YYYYMMDD.","Size..in.hectare.","Size.of.crediting.area..in.hectare.","Start.year","End.year","Duration","Objective.1","Objective.2","Objective.3","Deforestation.drivers","Type.of.forest","Project.Type","Details.for.Afforestation.Reforestation.activity","Project.located.in.an.IUCN.protected.area.","Dominant.type","Was.FPIC.used.","Was.participatory.approach.used.","ID_Country","Name.of.the.protected.area","Size.of.the.protected.area..hectares.","Estimated.proportion.of.the.project.located.in.a.protected.area","Category.of.protected.area..IUCN.classification.","Type.of.community.participation","Data.quality...Carbon.certification","Data.quality...Carbon.transacations","Data.quality...Financing.sources","Data.quality...Community.interventions","Status","Longitude..decimal.degrees.","Latitude..decimal.degrees.","Multiple.locations.","Region","Jurisdiction.level.1","Jurisdiction.level.2","rows","url"
"1","127","Programmatic project for the payment for environmental services to mitigate greenhouse gas emissions through avoided deforestation of privately owned tropical rainforests in high conservation value areas in the Central Volcanic Range of Costa Rica","Avoided Deforestation Through the Payment of Environmental Services in Rainforests Located on Private Lands in the Conservation Area of the Central Volcanic Mountain Range of Costa Rica","09/06/2020 00:00","39522","39522","2009","2019","10","climate","biodiversity conservation","ND","ND","humid","REDD","","yes","REDD","no","yes","188","Cordillera Volcánica Central Forest Reserve","39522","100%","6","consulted (PRA or other);informed","good data","ND","good data","good data","Ended","-83.466794","9.828506","Yes","South America","Province : Cartago and Limón","City : Paraiso",1,"https://s3.amazonaws.com/CCBA/Projects/Avoided_Deforestation_Through_the_Payment_of_Environmental_Services_in_Rainforests_Located_on_Private_lands_in_the_Conservation_Area_of_the_Central_Volcanic_Mountain_Range_of_Costa_Rica/PaxAssess.pdf"
"2","127","Programmatic project for the payment for environmental services to mitigate greenhouse gas emissions through avoided deforestation of privately owned tropical rainforests in high conservation value areas in the Central Volcanic Range of Costa Rica","Avoided Deforestation Through the Payment of Environmental Services in Rainforests Located on Private Lands in the Conservation Area of the Central Volcanic Mountain Range of Costa Rica","09/06/2020 00:00","39522","39522","2009","2019","10","climate","biodiversity conservation","ND","ND","humid","REDD","","yes","REDD","no","yes","188","Cordillera Volcánica Central Forest Reserve","39522","100%","6","consulted (PRA or other);informed","good data","ND","good data","good data","Ended","-83.466794","9.828506","Yes","South America","Province : Cartago and Limón","City : Paraiso",1,"https://s3.amazonaws.com/CCBA/Projects/Avoided_Deforestation_Through_the_Payment_of_Environmental_Services_in_Rainforests_Located_on_Private_lands_in_the_Conservation_Area_of_the_Central_Volcanic_Mountain_Range_of_Costa_Rica/English.pdf"
"3","180","Lacandón – Forests for Life","Lacandon – Forest for life REDD+ Project ; Avoided Deforestation in the Sierra del Lacandón National Park","11/06/2020 00:00","206269","115734","2012","2042","30","biodiversity conservation","social development","climate","fire;illegal logging;industrial agriculture or cattle ranching;local livelihoods;slash and burn agriculture","humid","ARR;IFM;REDD","ecosystem restoration","yes","REDD","no","yes","320","Sierra del Lacandón National Park (part of the core zone of the Maya Biosphere Reserve)","202865","100%","ND","consulted (PRA or other);informed;involved in decision-making","good data","good data","good data","good data","Ended","-90.904874","16.937982","No","South America","Department : Petén","Municipality : La Libertad and Las Cruces",3,"http://www.climate-standards.org/2015/12/28/lacandon-forest-for-life-redd-project/"
"4","215","REDD Project in the Cordillera Azul National Park","Cordillera Azul National Park REDD Project","12/06/2020 00:00","3650000","1351960","2006","2018","22","biodiversity conservation","climate","social development","illegal logging;industrial agriculture;industrial agriculture or cattle ranching;industrial wood exploitation;local livelihoods;oil extraction","humid","IFM;REDD","","yes","REDD","no","yes","604","Cordillera Azul National Park","3650000","100%","2","consulted (PRA or other);informed;involved in decision-making","good data","good data","good data","good data","Ended","-76.093","-7.817","No","South America","Regions : San Martín, Ucayali, Huánuco, and Loreto","Provinces: Bellavista, Picota, San Martin, Ucayali, Padre Abad, and Leoncio Prado",4,"http://www.climate-standards.org/2012/09/20/cordillera-azul-national-park-redd-project/"
"5","215","REDD Project in the Cordillera Azul National Park","Cordillera Azul National Park REDD Project","12/06/2020 00:00","3650000","1351960","2006","2018","22","biodiversity conservation","climate","social development","illegal logging;industrial agriculture;industrial agriculture or cattle ranching;industrial wood exploitation;local livelihoods;oil extraction","humid","IFM;REDD","","yes","REDD","no","yes","604","Cordillera Azul National Park","3650000","100%","2","consulted (PRA or other);informed;involved in decision-making","good data","good data","good data","good data","Ended","-76.093","-7.817","No","South America","Regions : San Martín, Ucayali, Huánuco, and Loreto","Provinces: Bellavista, Picota, San Martin, Ucayali, Padre Abad, and Leoncio Prado",4,"https://s3.amazonaws.com/CCBA/Projects/Cordillera_Azul_National_Park_REDD_project/PNCAZPDDrevDec192012_022113.pdf"
"6","216","REDD in Small Scale Forestry Concessions in Madre de Dios","","14/09/2020 00:00","85000","9999","9999","9999","40","timber production","social development","biodiversity conservation","ND","humid","ARR;REDD","ND","no","REDD","no","ND","604","9999","9999","9999","ND","ND","ND","ND","ND","good data","Abandoned","-68.123923","-13.700619","No","South America","Region : Madre de Dios","Provinces: Tahuamanu and Tambopata",5,"https://www.bosques-amazonicos.com/"
"7","246","Suruí Forest Carbon Project (SFCP)","Suruí REDD+ Project","12/06/2020 00:00","247845","247845","2009","2038","30","development;social development","biodiversity conservation","climate","illegal logging;industrial agriculture;industrial agriculture or cattle ranching;infrastructure;local livelihoods","humid","REDD","ND","no","REDD","yes","yes","76","9999","9999","9999","ND","consulted (PRA or other);informed;involved in decision-making","good data","good data","good data","good data","Terminated ahead of schedule","-61.2","-11","No","South America","States : Rondônia and Mato Grosso","Municipality : Cacoal, Espigão D'Oeste and Rondolândia",8,"http://www.forest-trends.org/documents/files/doc_2599.pdf"
"8","246","Suruí Forest Carbon Project (SFCP)","Suruí REDD+ Project","12/06/2020 00:00","247845","247845","2009","2038","30","development;social development","biodiversity conservation","climate","illegal logging;industrial agriculture;industrial agriculture or cattle ranching;infrastructure;local livelihoods","humid","REDD","ND","no","REDD","yes","yes","76","9999","9999","9999","ND","consulted (PRA or other);informed;involved in decision-making","good data","good data","good data","good data","Terminated ahead of schedule","-61.2","-11","No","South America","States : Rondônia and Mato Grosso","Municipality : Cacoal, Espigão D'Oeste and Rondolândia",8,"https://s3.amazonaws.com/CCBA/Projects/Surui_Forest_Carbon_project/PCFS_PDD_portugues_V1.pdf"
"9","246","Suruí Forest Carbon Project (SFCP)","Suruí REDD+ Project","12/06/2020 00:00","247845","247845","2009","2038","30","development;social development","biodiversity conservation","climate","illegal logging;industrial agriculture;industrial agriculture or cattle ranching;infrastructure;local livelihoods","humid","REDD","ND","no","REDD","yes","yes","76","9999","9999","9999","ND","consulted (PRA or other);informed;involved in decision-making","good data","good data","good data","good data","Terminated ahead of schedule","-61.2","-11","No","South America","States : Rondônia and Mato Grosso","Municipality : Cacoal, Espigão D'Oeste and Rondolândia",8,"http://www.ecosystemmarketplace.com/pages/dynamic/article.page.php?page_id=7611&section=home"
"10","280","Chocó Sur Node - Bajo Baudó/Litoral del San Juan","","15/12/2020 00:00","73034","9999","9999","9999","9999","climate","social development","non timber production","cattle grazing;illegal logging;industrial agriculture or cattle ranching","humid","REDD","","no","REDD","yes","yes","170","9999","9999","9999","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","few data or bad quality","Ended","-77.286488","5.344268","Yes","South America","Department : Chocó","Municipality : Bajo Baudó and Litoral del San Juan",9,"http://bioredd.org/projects/"
"11","280","Chocó Sur Node - Bajo Baudó/Litoral del San Juan","","15/12/2020 00:00","73034","9999","9999","9999","9999","climate","social development","non timber production","cattle grazing;illegal logging;industrial agriculture or cattle ranching","humid","REDD","","no","REDD","yes","yes","170","9999","9999","9999","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","few data or bad quality","Ended","-77.286488","5.344268","Yes","South America","Department : Chocó","Municipality : Bajo Baudó and Litoral del San Juan",9,"http://www.bioredd.org/docs/Bioredd"
"12","281","Chocó Sur Node - Bajo Baudó","","15/12/2020 00:00","59887","9999","9999","9999","9999","climate","social development","non timber production","cattle grazing;illegal logging;industrial agriculture or cattle ranching","humid","REDD","","no","REDD","yes","yes","170","9999","9999","9999","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","few data or bad quality","Ended","-77.286488","5.344268","No","South America","Department : Chocó","Municipality : Bajo Baudó",10,"http://bioredd.org/projects/"
"13","281","Chocó Sur Node - Bajo Baudó","","15/12/2020 00:00","59887","9999","9999","9999","9999","climate","social development","non timber production","cattle grazing;illegal logging;industrial agriculture or cattle ranching","humid","REDD","","no","REDD","yes","yes","170","9999","9999","9999","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","few data or bad quality","Ended","-77.286488","5.344268","No","South America","Department : Chocó","Municipality : Bajo Baudó",10,"http://www.bioredd.org/docs/Bioredd"
"14","282","Chocó Sur Node - Medio Baudó / Cantón de San Pablo","","15/12/2020 00:00","44859","9999","9999","9999","9999","climate","social development","non timber production","cattle grazing;illegal logging;industrial agriculture or cattle ranching","humid","REDD","","no","REDD","yes","yes","170","9999","9999","9999","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","few data or bad quality","Ended","-76.964306","5.133409","Yes","South America","Department : Chocó","Municipality : Medio Baudó and Cantón de San Pablo",11,"http://bioredd.org/projects/"
"15","282","Chocó Sur Node - Medio Baudó / Cantón de San Pablo","","15/12/2020 00:00","44859","9999","9999","9999","9999","climate","social development","non timber production","cattle grazing;illegal logging;industrial agriculture or cattle ranching","humid","REDD","","no","REDD","yes","yes","170","9999","9999","9999","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","few data or bad quality","Ended","-76.964306","5.133409","Yes","South America","Department : Chocó","Municipality : Medio Baudó and Cantón de San Pablo",11,"http://www.bioredd.org/docs/Bioredd"
"16","283","Urabá - Darién Node - Riosucio","","15/12/2020 00:00","57702","9999","9999","9999","9999","climate","social development","non timber production","cattle grazing;illegal logging;industrial agriculture or cattle ranching","humid","REDD","","no","REDD","yes","yes","170","9999","9999","9999","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","few data or bad quality","Ended","-75.727103","5.415858","No","South America","Department : Chocó","Municipality : Riosucio",12,"http://bioredd.org/projects/"
"17","283","Urabá - Darién Node - Riosucio","","15/12/2020 00:00","57702","9999","9999","9999","9999","climate","social development","non timber production","cattle grazing;illegal logging;industrial agriculture or cattle ranching","humid","REDD","","no","REDD","yes","yes","170","9999","9999","9999","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","few data or bad quality","Ended","-75.727103","5.415858","No","South America","Department : Chocó","Municipality : Riosucio",12,"http://www.bioredd.org/docs/Bioredd"
"18","284","Urabá - Darién Node - Chigorodó / Mutatá","","15/12/2020 00:00","143313","9999","9999","9999","9999","climate","social development","non timber production","cattle grazing;illegal logging;industrial agriculture or cattle ranching","humid","REDD","","no","REDD","yes","yes","170","9999","9999","9999","ND","consulted (PRA or other);informed","ND","ND","good data","few data or bad quality","Ended","-76.67749","7.665099","Yes","South America","Department : Antioquia","Municipality : Chigorodó and Mutatá",13,"http://bioredd.org/projects/"
"19","284","Urabá - Darién Node - Chigorodó / Mutatá","","15/12/2020 00:00","143313","9999","9999","9999","9999","climate","social development","non timber production","cattle grazing;illegal logging;industrial agriculture or cattle ranching","humid","REDD","","no","REDD","yes","yes","170","9999","9999","9999","ND","consulted (PRA or other);informed","ND","ND","good data","few data or bad quality","Ended","-76.67749","7.665099","Yes","South America","Department : Antioquia","Municipality : Chigorodó and Mutatá",13,"http://www.bioredd.org/docs/Bioredd"
"20","305","Ecomalaka+","Geographically-integrated Ecomakala+ REDD pilot project","09/12/2020 00:00","5476","9999","2007","2027","20","biodiversity conservation","social development","ND","charcoal production;energy wood;industrial wood exploitation;local livelihoods","humid","REDD","ecosystem restoration;plantation","yes","REDD","yes","no","180","Virunga National Park","9999","ND","2","ND","few data or bad quality","ND","good data","good data","Ended","29.045993","-0.791773","Yes","Africa","Province : North Kivu","Territory : Nyiragongo, Masisi and Rutshuru",15,"http://www.wwf.be/fr/que-faisons-nous/regions-menacees/bassin-du-congo/projets-du-wwf/lutter-contre-la-deforestation-ecomakala/572"
"21","305","Ecomalaka+","Geographically-integrated Ecomakala+ REDD pilot project","09/12/2020 00:00","5476","9999","2007","2027","20","biodiversity conservation","social development","ND","charcoal production;energy wood;industrial wood exploitation;local livelihoods","humid","REDD","ecosystem restoration;plantation","yes","REDD","yes","no","180","Virunga National Park","9999","ND","2","ND","few data or bad quality","ND","good data","good data","Ended","29.045993","-0.791773","Yes","Africa","Province : North Kivu","Territory : Nyiragongo, Masisi and Rutshuru",15,"https://mer.markit.com/br-reg/public/index.jsp?name=EcoMakala&entity=project&entity_domain=Markit"
"22","306","Luki","Integrated REDD pilot project around the Luki Biosphere Reserve in Mayombe forest","09/12/2020 00:00","9999","9999","2012","2032","20","biodiversity conservation","social development","climate","local livelihoods","dry and humid","REDD","agroforestry;plantation","yes","REDD","no","yes","180","Luki Biosphere Reserve","9999","ND","ND","informed;involved in decision-making;involved in management","ND","ND","good data","good data","Ended","12.36357","-5.923035","Yes","Africa","Province : Bas-Congo","Territory : Muanda, Seke-Banza and Lukula",16,"http://www.afdb.org/fr/projects-and-operations/project-portfolio/project/p-z1-c00-031/"
"23","308","Geographically Integrated REDD+ Pilot: Mambasa","Geographically-integrated Mambasa REDD pilot project","31/05/2018 00:00","9999","9999","2011","2016","20","climate","reduction of deforestation","social development","energy wood;illegal logging;mining;slash and burn agriculture","humid","ARR;REDD","agroforestry;plantation","yes","REDD","no","yes","180","Okapi Wildlife Reserve","1300000","ND","2","consulted (PRA or other);informed","ND","ND","good data","good data","Ended","29.028538","1.359532","No","Africa","Provinces : Ituri and Haut-Uele","Territory : Mambasa",17,"http://www.afdb.org/fr/projects-and-operations/project-portfolio/project/p-z1-c00-032/"
"24","308","Geographically Integrated REDD+ Pilot: Mambasa","Geographically-integrated Mambasa REDD pilot project","31/05/2018 00:00","9999","9999","2011","2016","20","climate","reduction of deforestation","social development","energy wood;illegal logging;mining;slash and burn agriculture","humid","ARR;REDD","agroforestry;plantation","yes","REDD","no","yes","180","Okapi Wildlife Reserve","1300000","ND","2","consulted (PRA or other);informed","ND","ND","good data","good data","Ended","29.028538","1.359532","No","Africa","Provinces : Ituri and Haut-Uele","Territory : Mambasa",17,"http://acpcongo.com/acp/?p=1343"
"25","310","Sankuru","Sankuru Community \"Fair Trade\" Carbon Initiative","17/06/2020 00:00","700000","9999","2010","2012","2","biodiversity conservation","social development","ND","illegal logging;industrial agriculture or cattle ranching;mining","humid","REDD","","yes","REDD","no","yes","180","Sankuru Nature Reserve","700000","100%","ND","consulted (PRA or other);informed;involved in decision-making","ND","ND","few data or bad quality","few data or bad quality","Ended","24.334143","-2.676992","No","Africa","Province : Sankuru","Territory : Lomela and Katako-Kombe",18,"http://www.afdb.org/en/projects-and-operations/project-portfolio/project/p-z1-c00-021/"
"26","312","Equateur","Projet d’appui à la société civile et au gouvernement dans le cadre de la REDD en province de L’Equateur.","09/12/2020 00:00","9999","9999","9999","9999","9999","development;social development","climate","ND","industrial wood exploitation;local livelihoods;slash and burn agriculture","humid","REDD","","no","REDD","no","ND","180","9999","9999","9999","ND","ND","ND","ND","good data","few data or bad quality","Ended","18.635027","1.228193","Yes","Africa","Province : Equateur","Territory : Mbandaka",19,"http://www.afdb.org/en/projects-and-operations/project-portfolio/project/p-z1-c00-029/"
"27","382","REDD Readiness in Southwest Tanzania","REDD In the Southern Highlands","07/07/2020 00:00","52680","9999","2010","2014","4","development;social development","biodiversity conservation","Protection of Indigenous Peoples","energy wood;fire;local livelihoods;slash and burn agriculture","humid","IFM;REDD","","yes","REDD","ND","yes","834","Mporoto, Rungwe and Livingstone","52680","100%","ND","consulted (PRA or other);informed;involved in decision-making;involved in management","ND","ND","few data or bad quality","good data","Ended","34.049231","-9.289578","Yes","Africa","Regions : Mbeya and Rukwa","Districts: Sadan and Satuk",22,"http://programs.wcs.org/shcpredd/AbouttheProject.aspx"
"28","405","Sofala Community Carbon Project","N'hambita Community Carbon Project (former name)","07/07/2020 00:00","11744","11744","2003","2018","15","development;social development","biodiversity conservation","climate","charcoal production;fire;industrial wood exploitation;local livelihoods;slash and burn agriculture","dry and humid","ARR;REDD","agroforestry","yes","REDD","yes","yes","508","Inhamitanga Forest Reserve (nationally protected)","1714","14.60%","ND","consulted (PRA or other);informed;involved in decision-making;involved in management","good data","good data","good data","good data","Ended","35.783214","-18.284722","Yes","Africa","Province : Sofala","District: Gorongosa",24,"http://www.climate-standards.org/2009/10/28/sofala-community-carbon-project/"
"29","405","Sofala Community Carbon Project","N'hambita Community Carbon Project (former name)","07/07/2020 00:00","11744","11744","2003","2018","15","development;social development","biodiversity conservation","climate","charcoal production;fire;industrial wood exploitation;local livelihoods;slash and burn agriculture","dry and humid","ARR;REDD","agroforestry","yes","REDD","yes","yes","508","Inhamitanga Forest Reserve (nationally protected)","1714","14.60%","ND","consulted (PRA or other);informed;involved in decision-making;involved in management","good data","good data","good data","good data","Ended","35.783214","-18.284722","Yes","Africa","Province : Sofala","District: Gorongosa",24,"http://www.envirotrade.co.uk/html/projects.php"
