"Project.ID","Project.name","Secondary.name","Last.IDRECCO.update..YYYYMMDD.","Size..in.hectare.","Size.of.crediting.area..in.hectare.","Start.year","End.year","Duration","Objective.1","Objective.2","Objective.3","Deforestation.drivers","Type.of.forest","Project.Type","Details.for.Afforestation.Reforestation.activity","Project.located.in.an.IUCN.protected.area.","Dominant.type","Was.FPIC.used.","Was.participatory.approach.used.","ID_Country","Name.of.the.protected.area","Size.of.the.protected.area..hectares.","Estimated.proportion.of.the.project.located.in.a.protected.area","Category.of.protected.area..IUCN.classification.","Type.of.community.participation","Data.quality...Carbon.certification","Data.quality...Carbon.transacations","Data.quality...Financing.sources","Data.quality...Community.interventions","Status","Longitude..decimal.degrees.","Latitude..decimal.degrees.","Multiple.locations.","Region","Jurisdiction.level.1","Jurisdiction.level.2","rows","url"
"30","405","Sofala Community Carbon Project","N'hambita Community Carbon Project (former name)","07/07/2020 00:00","11744","11744","2003","2018","15","development;social development","biodiversity conservation","climate","charcoal production;fire;industrial wood exploitation;local livelihoods;slash and burn agriculture","dry and humid","ARR;REDD","agroforestry","yes","REDD","yes","yes","508","Inhamitanga Forest Reserve (nationally protected)","1714","14.60%","ND","consulted (PRA or other);informed;involved in decision-making;involved in management","good data","good data","good data","good data","Ended","35.783214","-18.284722","Yes","Africa","Province : Sofala","District: Gorongosa",24,"http://www.envirotrade.co.uk/html/projects_gorongosa.php"
"31","405","Sofala Community Carbon Project","N'hambita Community Carbon Project (former name)","07/07/2020 00:00","11744","11744","2003","2018","15","development;social development","biodiversity conservation","climate","charcoal production;fire;industrial wood exploitation;local livelihoods;slash and burn agriculture","dry and humid","ARR;REDD","agroforestry","yes","REDD","yes","yes","508","Inhamitanga Forest Reserve (nationally protected)","1714","14.60%","ND","consulted (PRA or other);informed;involved in decision-making;involved in management","good data","good data","good data","good data","Ended","35.783214","-18.284722","Yes","Africa","Province : Sofala","District: Gorongosa",24,"http://www.envirotrade.co.uk/html/projects_zambezi.php"
"32","405","Sofala Community Carbon Project","N'hambita Community Carbon Project (former name)","07/07/2020 00:00","11744","11744","2003","2018","15","development;social development","biodiversity conservation","climate","charcoal production;fire;industrial wood exploitation;local livelihoods;slash and burn agriculture","dry and humid","ARR;REDD","agroforestry","yes","REDD","yes","yes","508","Inhamitanga Forest Reserve (nationally protected)","1714","14.60%","ND","consulted (PRA or other);informed;involved in decision-making;involved in management","good data","good data","good data","good data","Ended","35.783214","-18.284722","Yes","Africa","Province : Sofala","District: Gorongosa",24,"http://mer.markit.com/br-reg/public/project.jsp?project_id=100000000000169"
"33","406","Holistic Conservation Programme for Forests in Madagascar","Programme Holistique de Conservation des Forêts","07/07/2020 00:00","515000","9999","2008","2012","4","biodiversity conservation","social development","climate","energy wood;illegal logging;local livelihoods;slash and burn agriculture","dry and humid","ARR;REDD","ecosystem restoration;plantation","no","REDD","no","ND","450","9999","9999","9999","ND","ND","good data","ND","good data","good data","Ended","46.750712","-24.481547","Yes","Africa","Regions : Sava, Diana, Sofia and Anosy","Districts : Sambava and Fort-Dauphin",25,"http://www.wwf.mg/ourwork/footprint/footprintprojects/holistic_conservation/"
"34","464","Community CAF Cassou (3C)","","18/12/2020 00:00","30000","30000","1985","9999","9999","climate","biodiversity conservation","social development","cattle grazing;local livelihoods;population increase","dry and humid","REDD","","no","REDD","no","yes","854","","","","","consulted (PRA or other);informed","good data","ND","good data","good data","Terminated ahead of schedule","-2.011553","11.561579","No","Africa","Province: Ziro","District: Cassou",26,"https://www.planvivo.org/Handlers/Download.ashx?IDMF=64aa1a3d-80eb-4e23-b9ea-ca3e3b44c765"
"35","464","Community CAF Cassou (3C)","","18/12/2020 00:00","30000","30000","1985","9999","9999","climate","biodiversity conservation","social development","cattle grazing;local livelihoods;population increase","dry and humid","REDD","","no","REDD","no","yes","854","","","","","consulted (PRA or other);informed","good data","ND","good data","good data","Terminated ahead of schedule","-2.011553","11.561579","No","Africa","Province: Ziro","District: Cassou",26,"https://www.planvivo.org/pipeline"
"36","502","Cat Tien","Cat Tien Landscape: Pro‐Poor REDD Project","23/11/2018 00:00","271700","9999","2009","2012","3","biodiversity conservation","social development","ND","illegal logging;industrial agriculture or cattle ranching;infrastructure;local livelihoods","humid","REDD","","yes","REDD","no","yes","704","Cat Tien","9999","9999","2","consulted (PRA or other);informed","ND","ND","good data","good data","Ended","107.597858","11.719377","Yes","Asia","Province : Lam Dong","District : Cat Tien and Bao Lam",27,"http://pubs.iied.org/pdfs/G02745.pdf"
"37","503","Vietnam Forests and Deltas Program","","20/07/2020 00:00","9999","9999","2012","2017","5","climate","social development","influence national policy","ND","humid","REDD","","no","REDD","no","ND","704","9999","9999","9999","ND","ND","ND","ND","good data","few data or bad quality","Ended","106.784127","9.847301","Yes","Asia","Provinces : Thanh Hoa, Nghe An, Long An and Nam Dinh","Multiple jurisdictions",28,"http://www.snvworld.org/en/redd/cases/vietnam-forests-and-deltas-program"
"38","505","CarBi Project","Avoidance of deforestation and forest degradation in the border area of southern Laos and central Vietnam for the long-term preservation of carbon sinks and biodiversity","20/07/2020 00:00","200000","9999","2011","2015","4","biodiversity conservation","social development","ND","illegal logging;industrial agriculture or cattle ranching;infrastructure;local livelihoods","humid","IFM;REDD","ND","yes","IFM","no","yes","704","Bach Ma National Mark, SaoLa Protected Area, Quang Nam and Thua Thien Hue provinces","9999","ND","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","good data","Ended","107.781522","15.76118","Yes","Asia","Provinces : Quang Nam and Thua Thien Hue","District: A Luoi",29,"http://wwf.panda.org/what_we_do/where_we_work/greatermekong/our_solutions/projects/carbi/carbi_resources/?216316/CarBi-Project-Six-Monthly-Technical-Progress-Report-July-2013--Dec-2013"
"39","505","CarBi Project","Avoidance of deforestation and forest degradation in the border area of southern Laos and central Vietnam for the long-term preservation of carbon sinks and biodiversity","20/07/2020 00:00","200000","9999","2011","2015","4","biodiversity conservation","social development","ND","illegal logging;industrial agriculture or cattle ranching;infrastructure;local livelihoods","humid","IFM;REDD","ND","yes","IFM","no","yes","704","Bach Ma National Mark, SaoLa Protected Area, Quang Nam and Thua Thien Hue provinces","9999","ND","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","good data","Ended","107.781522","15.76118","Yes","Asia","Provinces : Quang Nam and Thua Thien Hue","District: A Luoi",29,"http://wwf.panda.org/what_we_do/where_we_work/greatermekong/our_solutions/projects/carbi/carbi_resources/?216317/CarBi-programme-achievements"
"40","505","CarBi Project","Avoidance of deforestation and forest degradation in the border area of southern Laos and central Vietnam for the long-term preservation of carbon sinks and biodiversity","20/07/2020 00:00","200000","9999","2011","2015","4","biodiversity conservation","social development","ND","illegal logging;industrial agriculture or cattle ranching;infrastructure;local livelihoods","humid","IFM;REDD","ND","yes","IFM","no","yes","704","Bach Ma National Mark, SaoLa Protected Area, Quang Nam and Thua Thien Hue provinces","9999","ND","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","good data","Ended","107.781522","15.76118","Yes","Asia","Provinces : Quang Nam and Thua Thien Hue","District: A Luoi",29,"http://awsassets.panda.org/downloads/6_monthly_tpr_jan_12.pdf"
"41","505","CarBi Project","Avoidance of deforestation and forest degradation in the border area of southern Laos and central Vietnam for the long-term preservation of carbon sinks and biodiversity","20/07/2020 00:00","200000","9999","2011","2015","4","biodiversity conservation","social development","ND","illegal logging;industrial agriculture or cattle ranching;infrastructure;local livelihoods","humid","IFM;REDD","ND","yes","IFM","no","yes","704","Bach Ma National Mark, SaoLa Protected Area, Quang Nam and Thua Thien Hue provinces","9999","ND","ND","consulted (PRA or other);informed","few data or bad quality","ND","good data","good data","Ended","107.781522","15.76118","Yes","Asia","Provinces : Quang Nam and Thua Thien Hue","District: A Luoi",29,"http://wwf.panda.org/what_we_do/where_we_work/greatermekong/our_solutions/projects/carbi/"
"42","509","MB-REDD","Delivering Environmental and Social Multiple Benefits from REDD+ in South East Asia","20/07/2020 00:00","9999","9999","2010","2016","6","development;social development","climate","biodiversity conservation","ND","humid","REDD","","no","REDD","no","yes","704","9999","9999","9999","ND","consulted (PRA or other);informed","ND","ND","good data","few data or bad quality","Ended","105.448056","9.191266","Yes","Asia","Provinces : Lam Dong and Ca Mau","ND",30,"http://www.vietnam-redd.org/Web/Default.aspx?tab=project&zoneid=110&itemid=654&lang=en-US"
"43","509","MB-REDD","Delivering Environmental and Social Multiple Benefits from REDD+ in South East Asia","20/07/2020 00:00","9999","9999","2010","2016","6","development;social development","climate","biodiversity conservation","ND","humid","REDD","","no","REDD","no","yes","704","9999","9999","9999","ND","consulted (PRA or other);informed","ND","ND","good data","few data or bad quality","Ended","105.448056","9.191266","Yes","Asia","Provinces : Lam Dong and Ca Mau","ND",30,"http://www.snvworld.org/en/sectors/redd/cases/MB-REDD"
"44","509","MB-REDD","Delivering Environmental and Social Multiple Benefits from REDD+ in South East Asia","20/07/2020 00:00","9999","9999","2010","2016","6","development;social development","climate","biodiversity conservation","ND","humid","REDD","","no","REDD","no","yes","704","9999","9999","9999","ND","consulted (PRA or other);informed","ND","ND","good data","few data or bad quality","Ended","105.448056","9.191266","Yes","Asia","Provinces : Lam Dong and Ca Mau","ND",30,"http://www.vietnam-redd.org/Upload/CMS/Content/REDD%20projects/MB%20REDD/mbredd_engl.pdf"
"45","511","Ulu Masen","Ulu Masen REDD demonstration project; Reducing Carbon Emissions from Deforestation in the Ulu Masen Ecosystem","23/11/2018 00:00","750000","9999","2009","2038","30","biodiversity conservation","influence national policy","social development","energy wood;illegal logging;industrial agriculture or cattle ranching;industrial wood exploitation;infrastructure;local livelihoods;mining","humid","REDD","ND","yes","REDD","yes","ND","360","Hutan Pinus/ Janthoi","9999","9999","1a","ND","good data","ND","good data","good data","Ended","95.916667","5.08375","Yes","Asia","Province : Aceh","Regency : Pidie, Pidie Jaya, West Aceh, Aceh Jaya, Aceh Besar",31,"https://s3.amazonaws.com/CCBA/Projects/Reducing_Carbon_Emissions_from_Deforestation_in_the_Ulu_Masen_Ecosystem/Final_Ulu_Masen_CCBA_project_design_note_Dec29.pdf"
"46","511","Ulu Masen","Ulu Masen REDD demonstration project; Reducing Carbon Emissions from Deforestation in the Ulu Masen Ecosystem","23/11/2018 00:00","750000","9999","2009","2038","30","biodiversity conservation","influence national policy","social development","energy wood;illegal logging;industrial agriculture or cattle ranching;industrial wood exploitation;infrastructure;local livelihoods;mining","humid","REDD","ND","yes","REDD","yes","ND","360","Hutan Pinus/ Janthoi","9999","9999","1a","ND","good data","ND","good data","good data","Ended","95.916667","5.08375","Yes","Asia","Province : Aceh","Regency : Pidie, Pidie Jaya, West Aceh, Aceh Jaya, Aceh Besar",31,"http://www.climate-standards.org/2007/11/02/reducing-carbon-emissions-from-deforestation-in-the-ulu-masen-ecosystem/"
"47","514","KCFP","Kalimantan Forests and Climate Partnership","31/05/2018 00:00","120000","9999","2007","2014","9999","biodiversity conservation","social development","return on investment","fire;illegal logging;local livelihoods","humid","ARR;REDD","plantation","yes","REDD","no","yes","360","Gunung Palung","9999","9999","2","consulted (PRA or other);informed","ND","ND","good data","good data","Ended","114.344406","-1.833166","Non","Asia","Province : Central Kalimantan","Regency : Kapuas",32,"http://news.mongabay.com/2013/0703-kfcp-to-end-ausaid.html"
"48","521","Merang REDD Pilot Project","Biodiversity Conservation through Preparatory Measures for Avoided Deforestation","20/07/2020 00:00","24000","9999","2008","2011","3","biodiversity conservation","climate","social development","fire;illegal logging","humid","REDD","","no","REDD","no","ND","360","9999","9999","9999","ND","ND","ND","ND","good data","good data","Ended","104.233016","-2.053469","No","Asia","Province : South Sumatra","Regency : Bayung Lencir Sub and Musi Banyuasin",33,"http://www.forclime.org/merang/home.html"
"49","522","Meru Betiri","Tropical Forest Conservation for Reducing Emissions from Deforestation and Forest Degradation and Enhancing Carbon Stocks in Meru Betiri National Park","20/07/2020 00:00","58000","9999","2010","2013","4","biodiversity conservation","climate","social development","fire;illegal logging;local livelihoods;population increase","humid","REDD","","yes","REDD","no","yes","360","Meru Betiri National Park","27900","46%","2","consulted (PRA or other);informed","ND","ND","good data","good data","Ended","112.658251","-7.860606","No","Asia","Province : East Java","Regency : Jember and Banyuwangi",34,"http://www.itto.int/files/itto_project_db_input/2931/Technical/TR%2031-Imple.pdf"
"50","524","Promoting the Partnership Efforts to Reduce Emission From Deforestation and Forest Degradation of Tropical Peatland in South Sumatra through the Enhancement of Conservation and Restoration Activities","RED-SPD 009/09 Rev.2 (F)","20/07/2020 00:00","70","9999","2010","2013","3","climate","biodiversity conservation","participatory forest management","ND","humid","IFM;REDD","","no","REDD","no","yes","360","9999","9999","9999","ND","consulted (PRA or other);informed","ND","ND","good data","few data or bad quality","Ended","104.573989","-2.079041","No","Asia","Province : South Sumatra","Regency : Banyu Asin",35,"http://www.itto.int/files/user/pdf/publications/Other%20Publications/op-20%20e%20j.pdf"
"51","524","Promoting the Partnership Efforts to Reduce Emission From Deforestation and Forest Degradation of Tropical Peatland in South Sumatra through the Enhancement of Conservation and Restoration Activities","RED-SPD 009/09 Rev.2 (F)","20/07/2020 00:00","70","9999","2010","2013","3","climate","biodiversity conservation","participatory forest management","ND","humid","IFM;REDD","","no","REDD","no","yes","360","9999","9999","9999","ND","consulted (PRA or other);informed","ND","ND","good data","few data or bad quality","Ended","104.573989","-2.079041","No","Asia","Province : South Sumatra","Regency : Banyu Asin",35,"http://www.itto.int/files/itto_project_db_input/2953/Competition/Completion%20Report%20of%20the%20ITTO%20RED-SPD%20009-09%20Rev.2%28F%29.pdf"
"52","525","Promoting Local Community Initiative on the Rehabilitation of Mangrove Ecosystem with Demonstration Activities in Bintan Island to Reduce further Deforestation and Forest Degradation","RED-PD 064/11 Rev.2","20/07/2020 00:00","9999","9999","2011","2013","2","climate","biodiversity conservation","social development","ND","humid","IFM;REDD","","no","REDD","no","ND","360","9999","9999","9999","ND","ND","ND","ND","good data","few data or bad quality","Ended","104.557128","0.979547","No","Asia","Province : Riau","Regency : Bintan",36,"http://www.itto.int/files/itto_project_db_input/2985/Technical/Full%20Report_Review%20&%20Policy%20Analysis.pdf"
"53","526","UN-REDD Pilot project in Indonesia","","20/07/2020 00:00","6300000","9999","2010","2013","2","participatory forest management","influence national policy","climate","fire;illegal logging;industrial agriculture or cattle ranching;local livelihoods","humid","REDD","","no","REDD","yes","yes","360","9999","9999","9999","ND","consulted (PRA or other);informed;involved in decision-making","ND","ND","good data","few data or bad quality","Ended","9999.999999","9999.999999","Non","Asia","Province : Central Sulawesi","Districts: Donggala, Parigi Moutong, Poso, Sigi, Toli-Toli, and Tojo Una-Una",37,"http://mptf.undp.org/factsheet/project/00073509"
"54","526","UN-REDD Pilot project in Indonesia","","20/07/2020 00:00","6300000","9999","2010","2013","2","participatory forest management","influence national policy","climate","fire;illegal logging;industrial agriculture or cattle ranching;local livelihoods","humid","REDD","","no","REDD","yes","yes","360","9999","9999","9999","ND","consulted (PRA or other);informed;involved in decision-making","ND","ND","good data","few data or bad quality","Ended","9999.999999","9999.999999","Non","Asia","Province : Central Sulawesi","Districts: Donggala, Parigi Moutong, Poso, Sigi, Toli-Toli, and Tojo Una-Una",37,"http://www.forestpeoples.org/sites/fpp/files/publication/2011/10/central-sulawesi-briefing-4.pdf"
"55","598","Design and setting up of a governance and payment system for Nepal’s Community Forest Management under Reduced Emission from Deforestation and Degradation (REDD)","","22/07/2020 00:00","10364","9999","2009","2013","4","influence national policy","participatory forest management","climate","ND","humid","REDD","","no","REDD","ND","yes","524","9999","9999","9999","ND","consulted (PRA or other);informed","ND","ND","good data","good data","Ended","9999.999999","9999.999999","Non","Asia","Provinces : Bagmati Pradesh and Gandaki Pradesh","District : Chitwan, Dolakha and Gorkha",41,"http://www.ansab.org/publication/community-based-redd-pilot-program-in-nepal-incentive-for-climate-change-mitigation-and-forest-conservation-measures/"
"56","680","Community Forestry Mgmt Project in Jangkat Highland","","18/12/2020 00:00","10994","10994","2014","9999","9999","social development","climate","biodiversity conservation","industrial agriculture or cattle ranching;industrial wood exploitation;mining","humid","REDD","","yes","REDD","no","yes","360","Kerinci Seblat National Park","9999","9999","ND","consulted (PRA or other);informed;involved in decision-making;involved in management","good data","ND","good data","good data","Terminated ahead of schedule","101.637826","-2.181138","No","Asia","Province: Jambi","District of Merangin",43,"https://www.planvivo.org/Handlers/Download.ashx?IDMF=8b398413-2782-4819-a002-6e2e8b98fd82"
"57","680","Community Forestry Mgmt Project in Jangkat Highland","","18/12/2020 00:00","10994","10994","2014","9999","9999","social development","climate","biodiversity conservation","industrial agriculture or cattle ranching;industrial wood exploitation;mining","humid","REDD","","yes","REDD","no","yes","360","Kerinci Seblat National Park","9999","9999","ND","consulted (PRA or other);informed;involved in decision-making;involved in management","good data","ND","good data","good data","Terminated ahead of schedule","101.637826","-2.181138","No","Asia","Province: Jambi","District of Merangin",43,"https://www.planvivo.org/pipeline"
"58","681","Peat Forest Ecosystem Rehabilitation and Prevention in Village Forest Work Area in four villages of Kahayan Hilir Sub-District, Pulang Pisau District, Central Kalimantan Province","","18/12/2020 00:00","16245","16245","2012","9999","9999","biodiversity conservation","climate","social development","fire;illegal logging;local livelihoods","humid","ARR;REDD","ND","no","ARR","no","yes","360","","","","","consulted (PRA or other);informed;involved in decision-making;involved in management","good data","ND","good data","good data","Terminated ahead of schedule","114.159523","-2.790903","No","Asia","Province: Central Kalimantan","District: Pulang Pisang",44,"https://www.planvivo.org/pipeline"
"59","681","Peat Forest Ecosystem Rehabilitation and Prevention in Village Forest Work Area in four villages of Kahayan Hilir Sub-District, Pulang Pisau District, Central Kalimantan Province","","18/12/2020 00:00","16245","16245","2012","9999","9999","biodiversity conservation","climate","social development","fire;illegal logging;local livelihoods","humid","ARR;REDD","ND","no","ARR","no","yes","360","","","","","consulted (PRA or other);informed;involved in decision-making;involved in management","good data","ND","good data","good data","Terminated ahead of schedule","114.159523","-2.790903","No","Asia","Province: Central Kalimantan","District: Pulang Pisang",44,"https://www.planvivo.org/Handlers/Download.ashx?IDMF=739aa13b-91a3-408f-abe1-d31b4bd00a5c"
"60","681","Peat Forest Ecosystem Rehabilitation and Prevention in Village Forest Work Area in four villages of Kahayan Hilir Sub-District, Pulang Pisau District, Central Kalimantan Province","","18/12/2020 00:00","16245","16245","2012","9999","9999","biodiversity conservation","climate","social development","fire;illegal logging;local livelihoods","humid","ARR;REDD","ND","no","ARR","no","yes","360","","","","","consulted (PRA or other);informed;involved in decision-making;involved in management","good data","ND","good data","good data","Terminated ahead of schedule","114.159523","-2.790903","No","Asia","Province: Central Kalimantan","District: Pulang Pisang",44,"https://www.icco-cooperation.org/nl/"
"61","681","Peat Forest Ecosystem Rehabilitation and Prevention in Village Forest Work Area in four villages of Kahayan Hilir Sub-District, Pulang Pisau District, Central Kalimantan Province","","18/12/2020 00:00","16245","16245","2012","9999","9999","biodiversity conservation","climate","social development","fire;illegal logging;local livelihoods","humid","ARR;REDD","ND","no","ARR","no","yes","360","","","","","consulted (PRA or other);informed;involved in decision-making;involved in management","good data","ND","good data","good data","Terminated ahead of schedule","114.159523","-2.790903","No","Asia","Province: Central Kalimantan","District: Pulang Pisang",44,"http://kpshk.org/"
